Date,League,Season,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,B365H,B365D,B365A,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomePasses,AwayPasses,HomeSaves,AwaySaves,HomePos,AwayPos,HS_1P,AS_1P,HST_1P,AST_1P,HF_1P,AF_1P,HC_1P,AC_1P,HY_1P,AY_1P,HR_1P,AR_1P,HomePasses_1P,AwayPasses_1P,HomePos_1P,AwayPos_1P,HS_2P,AS_2P,HST_2P,AST_2P,HF_2P,AF_2P,HC_2P,AC_2P,HY_2P,AY_2P,HR_2P,AR_2P,HomePasses_2P,AwayPasses_2P,HomePos_2P,AwayPos_2P,fixture_id
31/05/2026,Serie A Brasil,2026/2027,PALMEIRAS,CHAPECOENSE-SC,1,0,0,0,H,0.0,0.0,0.0,13,15,4,3,9,9,3,2,1,1,1,0,493,517,3,3,48,52,13,15,4,3,9,9,3,2,1,1,1,0,493,517,48,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492286
23/05/2026,Chinese Super League,2026/2027,DALIAN ZHIXING,CHENGDU BETTER CITY,2,0,0,0,H,0.0,0.0,0.0,13,5,3,0,10,17,3,5,3,4,0,0,304,509,0,1,38,62,13,5,3,0,10,17,3,5,3,4,0,0,304,509,38,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523165
12/04/2026,Brasileirao Serie B,2026/2027,OPERARIO-PR,CUIABA,0,0,0,0,D,0.0,0.0,0.0,13,11,3,2,17,18,2,1,2,5,0,1,440,300,2,3,59,41,13,11,3,2,17,18,2,1,2,5,0,1,440,300,59,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520636
09/06/2026,Brasileirao Serie B,2026/2027,PONTE PRETA,CUIABA,1,2,1,1,A,0.0,0.0,0.0,13,7,3,5,18,12,7,3,4,1,1,0,337,407,3,2,46,54,13,7,3,5,18,12,7,3,4,1,1,0,337,407,46,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520717
28/06/2026,Chinese Super League,2026/2027,DALIAN ZHIXING,SHANGHAI SHENHUA,1,4,1,2,A,0.0,0.0,0.0,13,14,3,8,7,13,8,2,0,2,0,0,438,323,3,2,59,41,13,14,3,8,7,13,8,2,0,2,0,0,438,323,59,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523186
26/07/2026,Chinese Super League,2026/2027,YUNNAN YUKUN,SICHUAN JIUNIU,4,3,2,1,H,0.0,0.0,0.0,13,9,5,5,14,11,3,5,4,1,0,0,336,277,3,1,54,46,13,9,5,5,14,11,3,5,4,1,0,0,336,277,54,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523215
12/02/2026,Serie A Brasil,2026/2027,CORINTHIANS,RB BRAGANTINO,2,0,0,0,H,0.0,0.0,0.0,13,9,5,4,17,24,3,3,4,4,0,0,458,292,4,3,61,39,13,9,5,4,17,24,3,3,4,4,0,0,458,292,61,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492133
12/05/2026,Brasileirao Serie B,2026/2027,LONDRINA,SAO BERNARDO,1,3,0,2,A,0.0,0.0,0.0,13,8,1,3,13,6,9,2,3,1,0,0,489,455,0,1,53,47,13,8,1,3,13,6,9,2,3,1,0,0,489,455,53,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520676
17/05/2026,Brasileirao Serie B,2026/2027,CRICIUMA,ATLETICO GOIANIENSE,1,1,0,0,D,0.0,0.0,0.0,13,18,2,4,14,16,8,9,3,4,0,0,435,218,3,1,67,33,13,18,2,4,14,16,8,9,3,4,0,0,435,218,67,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520682
10/07/2026,Chinese Super League,2026/2027,SHANDONG LUNENG,YUNNAN YUKUN,4,3,3,1,H,0.0,0.0,0.0,13,28,8,7,11,7,2,14,1,0,0,0,348,456,5,4,42,58,13,28,8,7,11,7,2,14,1,0,0,0,348,456,42,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523195
