Date,League,Season,HomeTeam,AwayTeam,minuto,parte,goleador,asistente,jugador_tarjeta,equipo,tipo,fixture_id
12/02/2026,Serie A Brasil,2026,SAO PAULO,GREMIO,24,1P,Lucas Moura,,,SAO PAULO,Penalty,1492137
12/02/2026,Serie A Brasil,2026,SAO PAULO,GREMIO,59,2P,Jonathan Calleri,Luciano,,SAO PAULO,Normal Goal,1492137
12/02/2026,Serie A Brasil,2026,VASCO DA GAMA,BAHIA,22,1P,Luciano Juba,Everton Ribeiro,,BAHIA,Normal Goal,1492138
12/02/2026,Serie A Brasil,2026,ATLETICO PARANAENSE,SANTOS,6,1P,Julimar,,,ATLETICO PARANAENSE,Penalty,1492130
12/02/2026,Serie A Brasil,2026,ATLETICO PARANAENSE,SANTOS,17,1P,Thaciano,,,SANTOS,Normal Goal,1492130
12/02/2026,Serie A Brasil,2026,ATLETICO PARANAENSE,SANTOS,90,2P,K. Viveros,L. Esquivel,,ATLETICO PARANAENSE,Normal Goal,1492130
12/02/2026,Serie A Brasil,2026,FLUMINENSE,BOTAFOGO,55,2P,L. Acosta,,,FLUMINENSE,Normal Goal,1492134
12/02/2026,Serie A Brasil,2026,CORINTHIANS,RB BRAGANTINO,47,2P,Gabriel Paulista,R. Garro,,CORINTHIANS,Normal Goal,1492133
12/02/2026,Serie A Brasil,2026,CORINTHIANS,RB BRAGANTINO,59,2P,Isidro Pitta,,,RB BRAGANTINO,Missed Penalty,1492133
12/02/2026,Serie A Brasil,2026,CORINTHIANS,RB BRAGANTINO,74,2P,Matheus Bidu,,,CORINTHIANS,Normal Goal,1492133
13/02/2026,Serie A Brasil,2026,INTERNACIONAL,PALMEIRAS,23,1P,G. Gomez,Andreas Pereira,,PALMEIRAS,Normal Goal,1492135
13/02/2026,Serie A Brasil,2026,INTERNACIONAL,PALMEIRAS,36,1P,Ronaldo,,,INTERNACIONAL,Normal Goal,1492135
13/02/2026,Serie A Brasil,2026,INTERNACIONAL,PALMEIRAS,52,2P,Vitor Roque,,,PALMEIRAS,Normal Goal,1492135
13/02/2026,Serie A Brasil,2026,INTERNACIONAL,PALMEIRAS,82,2P,Andreas Pereira,Lucas Evangelista,,PALMEIRAS,Normal Goal,1492135
19/02/2026,Serie A Brasil,2026,ATLETICO PARANAENSE,CORINTHIANS,16,1P,Julimar,,,ATLETICO PARANAENSE,Missed Penalty,1492120
19/02/2026,Serie A Brasil,2026,ATLETICO PARANAENSE,CORINTHIANS,20,1P,R. Garro,,,CORINTHIANS,Normal Goal,1492120
25/02/2026,Serie A Brasil,2026,RB BRAGANTINO,ATLETICO PARANAENSE,44,1P,Juninho Capixaba,,,RB BRAGANTINO,Normal Goal,1492142
25/02/2026,Serie A Brasil,2026,RB BRAGANTINO,ATLETICO PARANAENSE,79,2P,Julimar,G. Benavidez,,ATLETICO PARANAENSE,Normal Goal,1492142
25/02/2026,Serie A Brasil,2026,REMO,INTERNACIONAL,4,1P,Alan Patrick,Vitinho,,INTERNACIONAL,Normal Goal,1492148
25/02/2026,Serie A Brasil,2026,REMO,INTERNACIONAL,14,1P,L. Picco,Alef Manga,,REMO,Normal Goal,1492148
25/02/2026,Serie A Brasil,2026,CORITIBA,SAO PAULO,57,2P,Cauly,,,SAO PAULO,Penalty,1492143
25/02/2026,Serie A Brasil,2026,CRUZEIRO,CORINTHIANS,9,1P,Matheus Pereira,,,CRUZEIRO,Normal Goal,1492144
25/02/2026,Serie A Brasil,2026,CRUZEIRO,CORINTHIANS,81,2P,Joao Pedro,R. Garro,,CORINTHIANS,Normal Goal,1492144
26/02/2026,Serie A Brasil,2026,PALMEIRAS,FLUMINENSE,9,1P,Vitor Roque,,,PALMEIRAS,Penalty,1492147
26/02/2026,Serie A Brasil,2026,PALMEIRAS,FLUMINENSE,13,1P,Allan Elias,J. Lopez,,PALMEIRAS,Normal Goal,1492147
26/02/2026,Serie A Brasil,2026,PALMEIRAS,FLUMINENSE,40,1P,L. Acosta,,,FLUMINENSE,Normal Goal,1492147
26/02/2026,Serie A Brasil,2026,GREMIO,ATLETICO-MG,51,2P,E. Noriega,Marlon,,GREMIO,Normal Goal,1492146
26/02/2026,Serie A Brasil,2026,GREMIO,ATLETICO-MG,56,2P,Victor Hugo,Everson,,ATLETICO-MG,Normal Goal,1492146
