fixture_id,Goles_Todo_HTML,Goles_1P_HTML,Goles_2P_HTML,Goles_Todo_TXT
1492139,15' E. Pulgar (Everton) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span> | 45' Everton (L. Ortiz) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-2</span> | 51' Matheuzinho (Baralhas) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-2</span>,15' E. Pulgar (Everton) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span> | 45' Everton (L. Ortiz) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-2</span>,51' Matheuzinho (Baralhas) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-2</span>,15' E. Pulgar (Everton) 0-1 | 45' Everton (L. Ortiz) 0-2 | 51' Matheuzinho (Baralhas) 1-2
1492140,12'(pen) Rodrigo <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 34' R. Gomez (D. Duarte) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-0</span>,12'(pen) Rodrigo <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 34' R. Gomez (D. Duarte) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-0</span>,,12'(pen) Rodrigo 1-0 | 34' R. Gomez (D. Duarte) 2-0
1492142,44' J. Capixaba <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 79' Julimar (G. Benavidez) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span>,44' J. Capixaba <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span>,79' Julimar (G. Benavidez) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span>,44' J. Capixaba 1-0 | 79' Julimar (G. Benavidez) 1-1
1492143,57'(pen) Cauly <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span>,,57'(pen) Cauly <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span>,57'(pen) Cauly 0-1
1492144,9' M. Pereira <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 81' J. Pedro (R. Garro) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span>,9' M. Pereira <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span>,81' J. Pedro (R. Garro) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span>,9' M. Pereira 1-0 | 81' J. Pedro (R. Garro) 1-1
1492145,14' J. Carrascal (Pedro) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 43' L. Paquetá (J. Carrascal) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-0</span>,14' J. Carrascal (Pedro) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 43' L. Paquetá (J. Carrascal) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-0</span>,,14' J. Carrascal (Pedro) 1-0 | 43' L. Paquetá (J. Carrascal) 2-0
1492146,51' E. Noriega (Marlon) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 56' V. Hugo (Everson) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span> | 66' Marlon (E. Noriega) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-1</span>,,51' E. Noriega (Marlon) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 56' V. Hugo (Everson) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span> | 66' Marlon (E. Noriega) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-1</span>,51' E. Noriega (Marlon) 1-0 | 56' V. Hugo (Everson) 1-1 | 66' Marlon (E. Noriega) 2-1
1492147,9'(pen) V. Roque <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 13' A. Elias (J. Lopez) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-0</span> | 40' L. Acosta <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-1</span>,9'(pen) V. Roque <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 13' A. Elias (J. Lopez) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-0</span> | 40' L. Acosta <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-1</span>,,9'(pen) V. Roque 1-0 | 13' A. Elias (J. Lopez) 2-0 | 40' L. Acosta 2-1
1492148,4' A. Patrick (Vitinho) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span> | 14' L. Picco (A. Manga) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span>,4' A. Patrick (Vitinho) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>0-1</span> | 14' L. Picco (A. Manga) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span>,,4' A. Patrick (Vitinho) 0-1 | 14' L. Picco (A. Manga) 1-1
1492149,25' Neymar (Moises) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 43' C. Barros <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span> | 61' Neymar <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-1</span>,25' Neymar (Moises) <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-0</span> | 43' C. Barros <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>1-1</span>,61' Neymar <span style='background:#ffff99;padding:0 3px;border:1px solid #000'>2-1</span>,25' Neymar (Moises) 1-0 | 43' C. Barros 1-1 | 61' Neymar 2-1
