Date,League,Season,HomeTeam,AwayTeam,minuto,parte,goleador,asistente,jugador_tarjeta,equipo,tipo,fixture_id
25/08/2026,Saudi Pro League,2026/2027,AL SHABAB,AL RIYADH,57,2P,T. Okou,Trezeguet,,AL RIYADH,Normal Goal,1602995
25/08/2026,Saudi Pro League,2026/2027,AL SHABAB,AL RIYADH,81,2P,M. Borjan,,,AL SHABAB,Own Goal,1602995
26/08/2026,Saudi Pro League,2026/2027,AL-FAISALY FC,AL-FATEH,29,1P,L. Haraslin,Z. Youssouf,,AL-FATEH,Normal Goal,1602996
26/08/2026,Saudi Pro League,2026/2027,AL-FAISALY FC,AL-FATEH,41,1P,C. Bassogog,A. Mendy,,AL-FAISALY FC,Normal Goal,1602996
26/08/2026,Saudi Pro League,2026/2027,AL DIRIYAH,AL KHOLOOD,71,2P,A. Al Aliwa,I. Kortajarena,,AL KHOLOOD,Normal Goal,1602997
26/08/2026,Saudi Pro League,2026/2027,AL DIRIYAH,AL KHOLOOD,83,2P,M. Al Nemer,A. Al Faraj,,AL DIRIYAH,Normal Goal,1602997
28/08/2026,Saudi Pro League,2026/2027,AL RIYADH,NEOM,61,2P,T. Okou,H. Al Ali,,AL RIYADH,Normal Goal,1602998
28/08/2026,Saudi Pro League,2026/2027,AL-FAYHA,ABHA,32,1P,Lazaro,,,AL-FAYHA,Normal Goal,1602999
28/08/2026,Saudi Pro League,2026/2027,AL-FAYHA,ABHA,56,2P,Lazaro,,,AL-FAYHA,Normal Goal,1602999
28/08/2026,Saudi Pro League,2026/2027,AL-FAYHA,ABHA,84,2P,A. Gory,,,ABHA,Normal Goal,1602999
28/08/2026,Saudi Pro League,2026/2027,AL-FAYHA,ABHA,87,2P,A. Diallo,,,AL-FAYHA,Own Goal,1602999
28/08/2026,Saudi Pro League,2026/2027,AL-FAYHA,ABHA,90,2P,M. Batshuayi,,,ABHA,Penalty,1602999
28/08/2026,Saudi Pro League,2026/2027,AL KHALEEJ SAIHAT,AL-HILAL SAUDI FC,15,1P,M. Meite,S. Milinkovic-Savic,,AL-HILAL SAUDI FC,Normal Goal,1603000
28/08/2026,Saudi Pro League,2026/2027,AL KHALEEJ SAIHAT,AL-HILAL SAUDI FC,29,1P,S. Milinkovic-Savic,C. Summerville,,AL-HILAL SAUDI FC,Normal Goal,1603000
28/08/2026,Saudi Pro League,2026/2027,AL KHALEEJ SAIHAT,AL-HILAL SAUDI FC,38,1P,S. Al Amri,,,AL KHALEEJ SAIHAT,Normal Goal,1603000
28/08/2026,Saudi Pro League,2026/2027,AL KHALEEJ SAIHAT,AL-HILAL SAUDI FC,40,1P,T. Hernandez,M. Kanno,,AL-HILAL SAUDI FC,Normal Goal,1603000
28/08/2026,Saudi Pro League,2026/2027,AL KHALEEJ SAIHAT,AL-HILAL SAUDI FC,43,1P,C. Summerville,R. Neves,,AL-HILAL SAUDI FC,Normal Goal,1603000
28/08/2026,Saudi Pro League,2026/2027,AL KHALEEJ SAIHAT,AL-HILAL SAUDI FC,45,1P,S. Mandash,C. Summerville,,AL-HILAL SAUDI FC,Normal Goal,1603000
28/08/2026,Saudi Pro League,2026/2027,AL KHALEEJ SAIHAT,AL-HILAL SAUDI FC,67,2P,Musa Barrow,,,AL KHALEEJ SAIHAT,Missed Penalty,1603000
28/08/2026,Saudi Pro League,2026/2027,AL-NASSR,AL TAAWON,11,1P,B. Al Hurayji,,,AL TAAWON,Normal Goal,1603001
28/08/2026,Saudi Pro League,2026/2027,AL-NASSR,AL TAAWON,45,1P,Samu Costa,S. Mane,,AL-NASSR,Normal Goal,1603001
28/08/2026,Saudi Pro League,2026/2027,AL-NASSR,AL TAAWON,50,2P,C. Ronaldo,M. Simakan,,AL-NASSR,Normal Goal,1603001
29/08/2026,Saudi Pro League,2026/2027,AL KHOLOOD,AL-AHLI JEDDAH,32,1P,I. Kortajarena,C. da Costa,,AL KHOLOOD,Normal Goal,1603002
29/08/2026,Saudi Pro League,2026/2027,AL KHOLOOD,AL-AHLI JEDDAH,66,2P,I. Toney,E. Spertsyan,,AL-AHLI JEDDAH,Normal Goal,1603002
29/08/2026,Saudi Pro League,2026/2027,AL KHOLOOD,AL-AHLI JEDDAH,85,2P,J. Domingues,R. Solan,,AL KHOLOOD,Normal Goal,1603002
29/08/2026,Saudi Pro League,2026/2027,AL KHOLOOD,AL-AHLI JEDDAH,90,2P,M. Sawan,C. da Costa,,AL KHOLOOD,Normal Goal,1603002
29/08/2026,Saudi Pro League,2026/2027,AL-ETTIFAQ,AL DIRIYAH,8,1P,D. Nunez,O. Rodriguez,,AL DIRIYAH,Normal Goal,1603003
29/08/2026,Saudi Pro League,2026/2027,AL-ETTIFAQ,AL DIRIYAH,53,2P,A. Boulbina,O. Rodriguez,,AL DIRIYAH,Normal Goal,1603003
29/08/2026,Saudi Pro League,2026/2027,AL-ETTIFAQ,AL DIRIYAH,81,2P,D. Nunez,C. Diandy,,AL DIRIYAH,Normal Goal,1603003
30/08/2026,Saudi Pro League,2026/2027,AL-HAZM,AL SHABAB,48,2P,R. B. Martinez Tobinson,Y. Carrasco,,AL SHABAB,Normal Goal,1603005
30/08/2026,Saudi Pro League,2026/2027,AL-HAZM,AL SHABAB,90,2P,A. Pululu,,,AL-HAZM,Penalty,1603005
30/08/2026,Saudi Pro League,2026/2027,AL-QADISIYAH FC,AL-FAISALY FC,5,1P,M. Retegui,M. Al Juwayr,,AL-QADISIYAH FC,Normal Goal,1603006
30/08/2026,Saudi Pro League,2026/2027,AL-QADISIYAH FC,AL-FAISALY FC,12,1P,A. Seck,Andrei Girotto,,AL-FAISALY FC,Normal Goal,1603006
30/08/2026,Saudi Pro League,2026/2027,AL-QADISIYAH FC,AL-FAISALY FC,30,1P,M. Abu Al Shamat,,,AL-QADISIYAH FC,Normal Goal,1603006
30/08/2026,Saudi Pro League,2026/2027,AL-QADISIYAH FC,AL-FAISALY FC,56,2P,M. Al Shanqiti,,,AL-QADISIYAH FC,Own Goal,1603006
01/09/2026,Saudi Pro League,2026/2027,AL-HILAL SAUDI FC,AL-AHLI JEDDAH,9,1P,S. Milinkovic-Savic,S. Mandash,,AL-HILAL SAUDI FC,Normal Goal,1603007
01/09/2026,Saudi Pro League,2026/2027,AL-HILAL SAUDI FC,AL-AHLI JEDDAH,23,1P,C. Summerville,R. Neves,,AL-HILAL SAUDI FC,Normal Goal,1603007
01/09/2026,Saudi Pro League,2026/2027,AL-HILAL SAUDI FC,AL-AHLI JEDDAH,86,2P,O. Watkins,S. Mandash,,AL-HILAL SAUDI FC,Normal Goal,1603007
03/09/2026,Saudi Pro League,2026/2027,AL-FAYHA,AL KHOLOOD,5,1P,Hugo Moura,,,AL-FAYHA,Normal Goal,1603008
03/09/2026,Saudi Pro League,2026/2027,AL-FAYHA,AL KHOLOOD,14,1P,Iker Kortajarena Canellada,Julien Domingues,,AL KHOLOOD,Normal Goal,1603008
03/09/2026,Saudi Pro League,2026/2027,AL-FAYHA,AL KHOLOOD,57,2P,Fashion Sakala,Lázaro Vinicius Marques,,AL-FAYHA,Normal Goal,1603008
03/09/2026,Saudi Pro League,2026/2027,AL-FAYHA,AL KHOLOOD,88,2P,Julien Domingues,Mansour Camara,,AL KHOLOOD,Normal Goal,1603008
03/09/2026,Saudi Pro League,2026/2027,NEOM,AL KHALEEJ SAIHAT,37,1P,Alexandre Lacazette,Haroune Camara,,NEOM,Normal Goal,1603009
03/09/2026,Saudi Pro League,2026/2027,NEOM,AL KHALEEJ SAIHAT,39,1P,Muhanad Al Saad,Amadou Koné,,NEOM,Normal Goal,1603009
03/09/2026,Saudi Pro League,2026/2027,NEOM,AL KHALEEJ SAIHAT,45,1P,Amadou Koné,Khalil Al-Absi,,NEOM,Normal Goal,1603009
