Date,League,Season,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,B365H,B365D,B365A,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomePasses,AwayPasses,HomeSaves,AwaySaves,HomePos,AwayPos,HS_1P,AS_1P,HST_1P,AST_1P,HF_1P,AF_1P,HC_1P,AC_1P,HY_1P,AY_1P,HR_1P,AR_1P,HomePasses_1P,AwayPasses_1P,HomePos_1P,AwayPos_1P,HS_2P,AS_2P,HST_2P,AST_2P,HF_2P,AF_2P,HC_2P,AC_2P,HY_2P,AY_2P,HR_2P,AR_2P,HomePasses_2P,AwayPasses_2P,HomePos_2P,AwayPos_2P,fixture_id
26/02/2026,Serie A Brasil,2026,GREMIO,ATLETICO-MG,2,1,0,0,H,0.0,0.0,0.0,18,8,7,2,14,5,6,3,4,1,0,1,476,282,1,5,63,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492146
26/02/2026,Serie A Brasil,2026,SANTOS,VASCO DA GAMA,2,1,1,1,H,0.0,0.0,0.0,8,16,4,2,19,17,5,2,1,1,0,0,311,454,1,2,41,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492149
11/03/2026,Serie A Brasil,2026,MIRASSOL,SANTOS,2,2,1,0,D,0.0,0.0,0.0,20,16,9,2,9,7,6,7,2,2,0,0,439,359,0,6,54,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492156
11/03/2026,Serie A Brasil,2026,ATLETICO-MG,INTERNACIONAL,1,0,1,0,H,0.0,0.0,0.0,7,19,3,7,16,20,2,14,2,2,0,0,285,499,7,2,35,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492151
11/03/2026,Serie A Brasil,2026,BAHIA,VITORIA,1,1,1,1,D,0.0,0.0,0.0,13,6,7,2,17,19,7,3,1,1,0,0,482,287,1,6,63,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492152
12/03/2026,Serie A Brasil,2026,FLAMENGO,CRUZEIRO,2,0,1,0,H,0.0,0.0,0.0,15,13,7,4,19,13,4,7,2,2,0,0,394,494,4,4,44,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492154
12/03/2026,Serie A Brasil,2026,CORINTHIANS,CORITIBA,0,2,0,1,A,0.0,0.0,0.0,11,4,1,2,15,18,8,6,2,2,0,0,552,210,0,1,73,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492153
12/03/2026,Serie A Brasil,2026,REMO,FLUMINENSE,0,2,0,1,A,0.0,0.0,0.0,10,15,3,7,11,14,6,4,2,1,0,0,304,659,5,3,33,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492157
12/03/2026,Serie A Brasil,2026,VASCO DA GAMA,PALMEIRAS,2,1,0,1,H,0.0,0.0,0.0,17,8,6,3,6,18,9,5,2,2,0,0,439,438,2,4,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492159
12/03/2026,Serie A Brasil,2026,SAO PAULO,CHAPECOENSE-SC,2,0,0,0,H,0.0,0.0,0.0,18,7,7,1,13,12,11,6,0,1,0,0,486,286,1,5,63,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492158
13/03/2026,Serie A Brasil,2026,GREMIO,RB BRAGANTINO,1,1,1,0,D,0.0,0.0,0.0,13,20,6,8,13,13,4,6,2,4,0,0,267,436,7,4,39,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492155
14/03/2026,Serie A Brasil,2026,VITORIA,ATLETICO-MG,2,0,1,0,H,0.0,0.0,0.0,9,12,4,3,18,13,4,10,2,3,0,0,244,487,3,2,33,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492169
14/03/2026,Serie A Brasil,2026,BOTAFOGO,FLAMENGO,0,3,0,2,A,0.0,0.0,0.0,7,18,1,6,16,10,2,4,3,2,1,0,419,578,3,1,42,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492160
